,,,AERÓDROMOS PÚBLICOS,,,,,,
,,,,,,,,,POSIÇÃO NO
,,,DIMENSÕES,,,,,BALIZAMENTO,
NUMERAÇÃO,MUNICÍPIO,TELEFONE,,ALTITUDE,LATITUDE,LONGITUDE,REVESTIMENTO,,MAPA
,,,DA PISTA,,,,,NOTURNO,
,,,,,,,,,(Quadrante)
1,ANDIRÁ,(43) 3838-8100,1.000x23,490,"23° 1'38.44""S","50°13'37.91""O",Asfalto,Não,B5
2,APUCARANA,(43) 3422-4000,1.400x30,805,"23°36'32.90""S","51°23'3.42""O",Asfalto,Sim,C4
3,ARAPONGAS,(43) 3902-1020,1.200x23,792,"23°21'10.44""S","51°29'30.22""O",Asfalto,Sim,B4
4,ARAPOTI,(43) 3512-3000,1.400x23,805,"24° 6'14.20""S","49°47'20.58""O",Asfalto,Não,C6
5,BANDEIRANTES,(43) 3542-4525,1.300x100,402,"23° 4'20.18""S","50°25'23.82""O",Cascalho,Não,B5
6,CAMPO MOURÃO,(44) 3525-3833,1.400x30,565,"24° 0'37.48""S","52°21'24.89""O",Asfalto,Sim,C3
7,CASCAVEL,(45) 3228-2499,1.615x30,754,"25° 0'0.66""S","53°30'4.59""O",Asfalto,Sim,D2
8,CASTRO,(42) 3906-2040,1.420x30,"1,010","24°48'28.91""S","49°57'34.66""O",Asfalto,Não,D6
9,CENTENÁRIO DO SUL,(43) 3675-8000,1.200x100,485,"22°49'49.91""S","51°36'13.04""O",Grama,Não,B4
10,CIANORTE,(44) 3619-6300,1.200x23,560,"23°41'28.92""S","52°38'31.57""O",Asfalto,Sim,C3
11,CORNÉLIO PROCÓPIO,(43) 3904-1168,1.400x30,565,"23° 9'9.48""S","50°36'9.85""O",Asfalto,Não,B5
12,CURITIBA (BACACHERI),(41) 3256-1441,1.390x30,932,"25°24'19.51""S","49°13'54.63""O",Asfalto,Sim,E6
13,FOZ DO IGUAÇU,(45) 3521-4200,2.200x45,239,"25°35'44.98""S","54°29'14.21""O",Asfalto,Sim,E1
14,FRANCISCO BELTRÃO,(46)3520-2121,1.320x30,640,"26° 3'33.71""S","53° 3'49.74""O",Asfalto,Sim,E2
15,GOIOERÊ,(44)3521-8900,1.000x18,490,"24°13'13.40""S","53° 2'39.98""O",Asfalto,Não,C2
16,GUAÍRA,(44) 3642-9900,1.300x30,271,"24° 4'51.51""S","54°11'29.96""O",Asfalto,Não,C1
17,GUARAPUAVA,(42) 3627-4991,1.620x30,"1,065","25°23'16.77""S","51°31'20.95""O",Asfalto,Sim,E4
18,GUARATUBA,(41) 3442-7700,990x18,15,"25°52'51.04""S","48°36'42.17""O",Asfalto,Não,E7
19,IBAITI,(43) 3546-7450,1.200x18,600,"23°45'45.35""S","50°15'46.58""O",Asfalto,Não,C5
20,LOANDA,(44) 3425-8400,1.100x23,470,"22°55'1.32""S","53° 8'56.12""O",Asfalto,Não,B2
21,LONDRINA,(43) 3027-9000,2.102x45,569,"23°20'2.69""S","51° 7'42.56""O",Asfalto,Sim,B4
22,MANOEL RIBAS,(42) 3435-1223,1.200x30,860,"24°31'46.56""S","51°39'6.62""O",Asfalto,Sim,D4
23,"MARECHAL CÂNDIDO
RONDON",(45) 3254-3122,1.400x30,430,"24°30'45.55""S","54° 3'16.55""O",Asfalto,Não,D1
24,MARINGÁ,(44) 3366-3838,2.100x45,545,"23°28'33.91""S","52° 0'59.47""O",Asfalto,Sim,B4
25,MEDIANEIRA,(45) 3264-8600,1.200x18,449,"25°18'39.48""S","54° 4'15.93""O",Asfalto,Não,E1
26,PALMAS,(43) 3623-7000,1.100x30,"1,100","26°28'19.86""S","51°58'30.65""O",Asfalto,Não,F4
27,PALOTINA,(43)3623-7000,1.200x18,372,"24°20'36.26""S","53°49'43.48""O",Asfalto,Não,C2
28,PARANAGUÁ,(41) 3420-2701,1.455x30,5,"25°32'24.25""S","48°31'51.44""O",Asfalto,Não,E7
29,PARANAVAÍ,(44) 3421-2323,1.500x30,465,"23° 5'23.88""S","52°29'18.72""O",Asfalto,Sim,B3
30,PATO BRANCO,(46) 3902-1313,1.400x30,822,"26°13'1.43""S","52°41'39.03""O",Asfalto,Sim,E3
31,PONTA GROSSA,(42) 3229-1423,1.430x30,789,"25°11'4.69""S","50° 8'39.10""O",Asfalto,Sim,D5
32,REALEZA,(46) 3543-1122,1.200x18,516,"25°48'3.75""S","53°30'46.44""O",Asfalto,Não,E2
33,RIO BONITO DO IGUAÇU,(42) 3653-1122,1.200x30,636,"25°30'49.77""S","52°33'27.35""O",Cascalho,Não,E3
34,"SÃO JOSÉ DOS PINHAIS
(AFONSO PENA)",(41) 3381-1515,2.215x45,911,"25°31'45.00""S","49°10'30.37""O",Asfalto,Sim,E6
35,SERTANÓPOLIS,(43) 3232-1250,1.150x50,360,"23° 3'43.68""S","51° 0'50.67""O",Cascalho,Não,B4
36,SIQUEIRA CAMPOS,(43)3571-1122,1.200x23,705,"23°40'28.66""S","49°48'55.45""O",Asfalto,Não,C6
37,TELÊMACO BORBA,(42) 3272-2847,1.800x30,796,"24°19'0.48""S","50°39'6.73""O",Asfalto,Sim,C5
38,TOLEDO,(45) 3278-7556,1.670x30,562,"24°41'11.65""S","53°41'50.58""O",Asfalto,Sim,D2
39,UMUARAMA,(44) 3906-1121,1.400x30,475,"23°47'55.12""S","53°18'49.62""O",Asfalto,Sim,C2
40,UNIÃO DA VITÓRIA,(42) 3519-1008,1.000x30,752,"26°13'58.11""S","51° 4'0.87""O",Asfalto,Não,F4
